,count,mean,std,min,25%,50%,75%,max,range,variance
chroma_4_mean,1489.0,0.2609627799738079,0.17916342417854308,0.008652804,0.11164907,0.22321302,0.38597706,0.81480646,0.806153656,0.03209953256338056
chroma_4_std,1489.0,0.26339780004298186,0.08309232403091901,0.020072656,0.21122882,0.2736533,0.32445654,0.45458087,0.434508214,0.006904334312859242
chroma_5_mean,1489.0,0.24748980112907995,0.17209261745534943,0.0069816597,0.11067138,0.20641103,0.36409515,0.85995656,0.8529749003,0.029615868982633235
chroma_5_std,1489.0,0.25416419010611147,0.07981950556518755,0.009787168,0.20138775,0.2652511,0.3137289,0.45933947,0.449552302,0.006371153468671007
chroma_6_mean,1489.0,0.24187527387750166,0.1696512361095815,0.0052740136,0.10719259,0.19484742,0.3434295,0.7779896,0.7727155863999999,0.028781541913508967
chroma_6_std,1489.0,0.2511229144405641,0.07606539285509711,0.008028724,0.20472094,0.2601405,0.30575472,0.4626749,0.454646176,0.005785943990200259
chroma_7_mean,1489.0,0.2494568438402955,0.18021796953276573,0.0052650976,0.102905564,0.2051682,0.36025605,0.9875761,0.9823110023999999,0.032478516542512874
chroma_7_std,1489.0,0.25405836822364,0.08083291005023835,0.00986694,0.19984181,0.26079413,0.31152984,0.4370168,0.42714986,0.006533959347189925
chroma_8_mean,1489.0,0.24882374562807258,0.18267850862222196,0.0066854064,0.102802664,0.20360108,0.36267453,0.9484134,0.9417279935999999,0.03337143751243922
chroma_8_std,1489.0,0.24982245147414375,0.08284053688809331,0.016851773,0.19816823,0.2592896,0.30760536,0.46415982,0.447308047,0.006862554551907549
chroma_9_mean,1489.0,0.2507389822294157,0.18569656458123598,0.0035486058,0.098347604,0.19954409,0.37573048,0.88053995,0.8769913441999999,0.034483214097273146
chroma_9_std,1489.0,0.2508783754009402,0.08361536465299087,0.017301716,0.19126232,0.25701538,0.31401315,0.46346,0.44615828399999996,0.006991529206052636
chroma_10_mean,1489.0,0.25775019273082606,0.18789889293906573,0.0048576808,0.10808949,0.20216931,0.37926084,0.9056629,0.9008052192,0.03530599396772648
chroma_10_std,1489.0,0.25666369928945604,0.08317905397052307,0.006687332,0.1991741,0.26498547,0.3162792,0.4552337,0.44854636800000003,0.00691875501943119
chroma_11_mean,1489.0,0.2734534518300202,0.1909383580394872,0.001018554,0.11919463,0.22469608,0.39873287,0.9251558,0.924137246,0.03645745657081541
chroma_11_std,1489.0,0.2693117423404298,0.08386189577440241,0.0052243914,0.21834221,0.2723119,0.33166587,0.4715096,0.4662852086,0.0070328175628767324
chroma_12_mean,1489.0,0.28550247880020146,0.19529976195214943,0.0010616933,0.12784615,0.24009736,0.4136567,0.9187457,0.9176840066999999,0.038141997018566236
chroma_12_std,1489.0,0.28147233336662186,0.08601170239345368,0.005726284,0.22997673,0.29034886,0.3414462,0.49180514,0.48607885599999995,0.007398012948620045
spectral_contrast_1_mean,1489.0,16.35378074285977,4.079930189120366,5.105138264711686,13.354998357922486,15.752833656402814,18.71634796052724,34.16031303378346,29.055174769071776,16.645830348095746
spectral_contrast_1_std,1489.0,4.2593950618206815,1.6497588648646007,1.1458024300210177,3.341739902641274,4.018163306142492,4.842125518047019,18.173888653660228,17.02808622363921,2.721704312199336
spectral_contrast_2_mean,1489.0,14.098531746327373,3.9276308397390816,4.113774683998143,10.91689778119352,13.448631475005588,16.619913411207957,28.64988489356754,24.536110209569394,15.426284013269523
spectral_contrast_2_std,1489.0,4.230922376569462,1.5955931871289721,1.1899108089089836,3.1525128050085858,3.8910681547910646,5.062733820388984,12.529598997915675,11.339688189006692,2.5459176188123913
spectral_contrast_3_mean,1489.0,16.689961615604577,4.111027150456993,4.941529204139636,13.636980717061515,16.105990040502327,18.995106198880904,33.78839469301611,28.846865488876475,16.900544231794537
spectral_contrast_3_std,1489.0,4.200742087253313,1.637650437622508,0.9966039371418488,3.138033964289686,3.926946476868908,5.087448416078979,13.03378237546958,12.03717843832773,2.6818989558451922
spectral_contrast_4_mean,1489.0,18.255585505885676,3.953354053149257,5.617130797841914,15.606823280025596,17.933283016735334,20.390672409366864,37.8728423624815,32.25571156463958,15.629008269551658
spectral_contrast_4_std,1489.0,4.20194058202056,1.6144814889875432,0.6727439653281158,3.112172342213696,3.9407922342753534,5.047791271173617,12.14658688527746,11.473842919949345,2.6065504782834346
spectral_contrast_5_mean,1489.0,18.99011809536598,4.031489093509024,6.979863653661741,16.538394675852757,18.49137671924714,21.01080671690472,36.38985274484366,29.409989091181917,16.252904311082215
spectral_contrast_5_std,1489.0,4.052192234087596,1.7630094316285856,0.5960701771384339,2.876095912755871,3.662444436314361,4.875667325525096,14.35055485950028,13.754484682361845,3.1082022560113485
spectral_contrast_6_mean,1489.0,26.478484359525826,7.769244214494862,7.954093159520977,20.450856827581436,25.67539203969176,31.580262993416728,48.42344448994801,40.46935133042703,60.3611556644619
